expr_id,cond_id,para_nr,line_nr,word_nr,word,first_duration,total_duration,gaze_duration,right_bounded_rt,go_past_time,FPFix,FPReg,RegIn_excl,RegIn_incl
2,1,10,0,4,importante,352.0,352.0,352.0,352.0,352.0,1,0,0,0
2,1,10,0,5,și,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,6,recente,303.0,303.0,303.0,303.0,303.0,1,0,0,0
2,1,10,0,7,studii,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,8,asupra,454.0,454.0,454.0,454.0,454.0,1,0,0,0
2,1,10,0,9,efectelor,449.0,449.0,449.0,449.0,449.0,1,0,0,0
2,1,10,0,10,consumului,448.0,448.0,448.0,448.0,448.0,1,0,0,0
2,1,10,0,11,de,1104.0,1104.0,1104.0,1104.0,1104.0,1,0,0,0
2,1,10,0,12,lapte,297.0,297.0,297.0,297.0,297.0,1,0,0,0
2,1,10,0,13,s-a,248.0,248.0,248.0,248.0,248.0,1,0,0,0
2,1,10,0,14,publicat,250.0,250.0,250.0,250.0,250.0,1,0,0,0
2,1,10,0,15,în,350.0,350.0,350.0,350.0,350.0,1,0,0,0
2,1,10,0,16,numărul,201.0,201.0,201.0,201.0,201.0,1,0,0,0
2,1,10,0,17,din,454.0,454.0,454.0,454.0,454.0,1,0,0,0
2,1,10,0,18,octombrie,745.0,745.0,745.0,745.0,745.0,1,0,0,0
2,1,10,0,19,2014,351.0,351.0,351.0,351.0,351.0,1,0,0,0
2,1,10,0,20,al,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,21,Jurnalului,548.0,548.0,548.0,548.0,548.0,1,0,0,0
2,1,10,0,22,Medical,404.0,404.0,404.0,404.0,404.0,1,0,0,0
2,1,10,0,23,Britanic.,1097.0,1097.0,1097.0,1097.0,1097.0,1,0,0,0
2,1,10,0,24,Rezultatele,648.0,648.0,648.0,648.0,648.0,1,0,0,0
2,1,10,0,25,studiului,503.0,503.0,503.0,503.0,503.0,1,0,0,0
2,1,10,0,26,au,200.0,200.0,200.0,200.0,200.0,1,0,0,0
2,1,10,0,27,condus,347.0,347.0,347.0,347.0,347.0,1,0,0,0
2,1,10,0,28,la,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,29,câteva,351.0,351.0,351.0,351.0,351.0,1,0,0,0
2,1,10,0,30,concluzii,497.0,497.0,497.0,497.0,497.0,1,0,0,0
2,1,10,0,31,de,200.0,200.0,200.0,200.0,200.0,1,0,0,0
2,1,10,0,32,mare,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,33,impact.,400.0,400.0,400.0,400.0,400.0,1,0,0,0
2,1,10,0,34,Mai,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,35,mult,200.0,200.0,200.0,200.0,200.0,1,0,0,0
2,1,10,0,36,de,947.0,947.0,947.0,947.0,947.0,1,0,0,0
2,1,10,0,37,100000,351.0,351.0,351.0,351.0,351.0,1,0,0,0
2,1,10,0,38,de,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,39,persoane,449.0,449.0,449.0,449.0,449.0,1,0,0,0
2,1,10,0,40,din,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,41,Suedia,501.0,501.0,501.0,501.0,501.0,1,0,0,0
2,1,10,0,42,au,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,43,fost,497.0,497.0,497.0,497.0,497.0,1,0,0,0
2,1,10,0,44,subiecții,298.0,298.0,298.0,298.0,298.0,1,0,0,0
2,1,10,0,45,studiului,601.0,601.0,601.0,601.0,601.0,1,0,0,0
2,1,10,0,46,pe,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,47,o,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,48,perioadă,448.0,448.0,448.0,448.0,448.0,1,0,0,0
2,1,10,0,49,de,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,50,20-,995.0,995.0,995.0,995.0,995.0,1,0,0,0
2,1,10,0,51,30,350.0,350.0,350.0,350.0,350.0,1,0,0,0
2,1,10,0,52,de,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,53,ani.,345.0,345.0,345.0,345.0,345.0,1,0,0,0
2,1,10,0,54,Cercetătorii,600.0,600.0,600.0,600.0,600.0,1,0,0,0
2,1,10,0,55,au,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,56,descoperit,351.0,351.0,351.0,351.0,351.0,1,0,0,0
2,1,10,0,57,că,201.0,201.0,201.0,201.0,201.0,1,0,0,0
2,1,10,0,58,femeile,399.0,399.0,399.0,399.0,399.0,1,0,0,0
2,1,10,0,59,care,298.0,298.0,298.0,298.0,298.0,1,0,0,0
2,1,10,0,60,beau,399.0,399.0,399.0,399.0,399.0,1,0,0,0
2,1,10,0,61,lapte,499.0,499.0,499.0,499.0,499.0,1,0,0,0
2,1,10,0,62,suferă,400.0,400.0,400.0,400.0,400.0,1,0,0,0
2,1,10,0,63,mai,1053.0,1053.0,1053.0,1053.0,1053.0,1,0,0,0
2,1,10,0,64,multe,449.0,449.0,449.0,449.0,449.0,1,0,0,0
2,1,10,0,65,fracturi,448.0,448.0,448.0,448.0,448.0,1,0,0,0
2,1,10,0,66,de,250.0,250.0,250.0,250.0,250.0,1,0,0,0
2,1,10,0,67,oase,453.0,453.0,453.0,453.0,453.0,1,0,0,0
2,1,10,0,68,decât,347.0,347.0,347.0,347.0,347.0,1,0,0,0
2,1,10,0,69,acelea,254.0,254.0,254.0,254.0,254.0,1,0,0,0
2,1,10,0,70,care,296.0,296.0,296.0,296.0,296.0,1,0,0,0
2,1,10,0,71,nu,255.0,255.0,255.0,255.0,255.0,1,0,0,0
2,1,10,0,72,consumă,297.0,297.0,297.0,297.0,297.0,1,0,0,0
2,1,10,0,73,lapte.,248.0,248.0,248.0,248.0,248.0,1,0,0,0
2,1,10,0,74,În,200.0,200.0,200.0,200.0,200.0,1,0,0,0
2,1,10,0,75,"plus,",250.0,250.0,250.0,250.0,250.0,1,0,0,0
2,1,10,0,76,atât,1005.0,1005.0,1005.0,1005.0,1005.0,1,0,0,0
2,1,10,0,77,femeile,497.0,497.0,497.0,497.0,497.0,1,0,0,0
2,1,10,0,78,cât,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,79,și,195.0,195.0,195.0,195.0,195.0,1,0,0,0
2,1,10,0,80,bărbații,351.0,351.0,351.0,351.0,351.0,1,0,0,0
2,1,10,0,81,care,200.0,200.0,200.0,200.0,200.0,1,0,0,0
2,1,10,0,82,beau,254.0,254.0,254.0,254.0,254.0,1,0,0,0
2,1,10,0,83,lapte,249.0,249.0,249.0,249.0,249.0,1,0,0,0
2,1,10,0,84,suferă,600.0,600.0,600.0,600.0,600.0,1,0,0,0
