expr_id,cond_id,para_nr,word,word_nr,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_past_time,FPFix,FPReg,RegIn_excl,RegIn_incl
2,1,1,"Tehnologie,",44,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,705.0,705.0,705.0,705.0,705.0,1.0,0.0,0,0
2,1,1,pe,45,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,scurt,46,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,346.0,346.0,346.0,346.0,346.0,1.0,0.0,0,0
2,1,1,COST.,47,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,399.0,399.0,399.0,399.0,399.0,1.0,0.0,0,0
2,1,1,Ca,48,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,251.0,251.0,251.0,251.0,251.0,1.0,0.0,0,0
2,1,1,organizație,49,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,802.0,802.0,802.0,802.0,802.0,1.0,0.0,0,0
2,1,1,de,50,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,"finanțare,",51,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,598.0,598.0,598.0,598.0,598.0,1.0,0.0,0,0
2,1,1,COST,52,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,302.0,302.0,302.0,302.0,302.0,1.0,0.0,0,0
2,1,1,susține,53,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,2352.0,2352.0,2352.0,2352.0,2352.0,1.0,0.0,0,0
2,1,1,rețeaua,54,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,848.0,848.0,848.0,848.0,848.0,1.0,0.0,0,0
2,1,1,noastră,55,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,503.0,503.0,503.0,503.0,503.0,1.0,0.0,0,0
2,1,1,în,56,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,297.0,297.0,297.0,297.0,297.0,1.0,0.0,0,0
2,1,1,creștere,57,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,500.0,500.0,500.0,500.0,500.0,1.0,0.0,0,0
2,1,1,de,58,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,202.0,202.0,202.0,202.0,202.0,1.0,0.0,0,0
2,1,1,cercetători,59,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,947.0,947.0,947.0,947.0,947.0,1.0,0.0,0,0
2,1,1,din,60,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,250.0,250.0,250.0,250.0,250.0,1.0,0.0,0,0
2,1,1,Europa,61,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,453.0,453.0,453.0,453.0,453.0,1.0,0.0,0,0
2,1,1,și,62,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,din,63,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,246.0,246.0,246.0,246.0,246.0,1.0,0.0,0,0
2,1,1,afara,64,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,400.0,400.0,400.0,400.0,400.0,1.0,0.0,0,0
